CPUS_PER_PROC,NPROCS,WIDTH,NITER,FLOPS,FILE
1,384,1920,64,3990348000000.0,8node_mpi_odf5_data.txt
1,384,1920,2097152,19068150000000.0,8node_mpi_odf5_data.txt
1,384,1920,4096,18278670000000.0,8node_mpi_odf5_data.txt
1,384,1920,4096,1995234000000.0,8node_mpi_odf5_data.txt
1,384,1920,2097152,19155930000000.0,8node_mpi_odf5_data.txt
1,384,1920,64,4107085000000.0,8node_mpi_odf5_data.txt
1,384,1920,32768,18659320000000.0,8node_mpi_odf5_data.txt
1,384,1920,512,7106174000000.0,8node_mpi_odf5_data.txt
1,384,1920,16777216,19122950000000.0,8node_mpi_odf5_data.txt
1,384,1920,262144,18878990000000.0,8node_mpi_odf5_data.txt
1,384,1920,134217728,19146630000000.0,8node_mpi_odf5_data.txt
1,384,1920,16777216,19092810000000.0,8node_mpi_odf5_data.txt
1,384,1920,4096,17971580000000.0,8node_mpi_odf5_data.txt
1,384,1920,512,13504810000000.0,8node_mpi_odf5_data.txt
1,384,1920,262144,18622440000000.0,8node_mpi_odf5_data.txt
1,384,1920,64,4346879000000.0,8node_mpi_odf5_data.txt
1,384,1920,134217728,19106960000000.0,8node_mpi_odf5_data.txt
1,384,1920,2097152,18818090000000.0,8node_mpi_odf5_data.txt
1,384,1920,32768,18904530000000.0,8node_mpi_odf5_data.txt
1,384,1920,134217728,18802220000000.0,8node_mpi_odf5_data.txt
1,384,1920,16777216,18766440000000.0,8node_mpi_odf5_data.txt
1,384,1920,32768,18907850000000.0,8node_mpi_odf5_data.txt
1,384,1920,262144,18543070000000.0,8node_mpi_odf5_data.txt
1,384,1920,2097152,18990370000000.0,8node_mpi_odf5_data.txt
1,384,1920,512,9765985000000.0,8node_mpi_odf5_data.txt
1,384,1920,64,4315082000000.0,8node_mpi_odf5_data.txt
1,384,1920,4096,17837860000000.0,8node_mpi_odf5_data.txt
1,384,1920,512,9964638000000.0,8node_mpi_odf5_data.txt
1,384,1920,4096,13876440000000.0,8node_mpi_odf5_data.txt
1,384,1920,32768,18598150000000.0,8node_mpi_odf5_data.txt
1,384,1920,2097152,19047000000000.0,8node_mpi_odf5_data.txt
1,384,1920,16777216,18846990000000.0,8node_mpi_odf5_data.txt
1,384,1920,64,3824861000000.0,8node_mpi_odf5_data.txt
1,384,1920,134217728,18866710000000.0,8node_mpi_odf5_data.txt
1,384,1920,262144,18653700000000.0,8node_mpi_odf5_data.txt
1,384,1920,134217728,18868890000000.0,8node_mpi_odf5_data.txt
1,384,1920,512,11757600000000.0,8node_mpi_odf5_data.txt
1,384,1920,64,2756602000000.0,8node_mpi_odf5_data.txt
1,384,1920,2097152,18856000000000.0,8node_mpi_odf5_data.txt
1,384,1920,4096,14892880000000.0,8node_mpi_odf5_data.txt
1,384,1920,32768,19001150000000.0,8node_mpi_odf5_data.txt
1,384,1920,262144,18672020000000.0,8node_mpi_odf5_data.txt
1,384,1920,16777216,18795510000000.0,8node_mpi_odf5_data.txt
